Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Balance
2023-06-09 00:00:00-04:00,14517.0,14687.5,14460.25,14556.25,581386,0.0,0.0,0.0,100000.0
2023-06-12 00:00:00-04:00,14560.25,14827.0,14554.25,14800.5,397388,0.0,0.0,0.01677973379132669,101677.97
2023-06-13 00:00:00-04:00,14824.0,14967.75,14779.5,14914.25,347119,0.0,0.0,0.007685551163812088,102459.42
2023-06-14 00:00:00-04:00,14925.0,15061.5,14793.0,15012.75,204099,0.0,0.0,0.0066044219454548525,103136.11
2023-06-15 00:00:00-04:00,15038.0,15252.0,14878.0,15188.0,139777,0.0,0.0,0.011673410934039508,104340.06
2023-06-16 00:00:00-04:00,15181.25,15324.0,15130.5,15316.6103515625,636907,0.0,0.0,0.008467892517941777,105223.6
2023-06-20 00:00:00-04:00,15303.25,15322.5,15126.5,15256.5,652883,0.0,0.0,-0.0039245205161446695,104810.65
2023-06-21 00:00:00-04:00,15247.5,15273.25,15002.25,15044.0,640702,0.0,0.0,-0.013928489496280227,103350.79
2023-06-22 00:00:00-04:00,15038.75,15238.0,14964.0,15214.75,611017,0.0,0.0,0.011350039883009755,104523.83
2023-06-23 00:00:00-04:00,15236.0,15236.0,14985.25,15058.25,620593,0.0,0.0,-0.010286071082337811,103448.69
2023-06-26 00:00:00-04:00,15057.75,15152.5,14853.5,14856.5,649993,0.0,0.0,-0.013397971211794202,102062.69
2023-06-27 00:00:00-04:00,14875.0,15139.25,14862.25,15111.5,569198,0.0,0.0,0.017164204220375012,103814.51
2023-06-28 00:00:00-04:00,15088.25,15219.0,15021.25,15130.0,662146,0.0,0.0,0.001224233199880853,103941.61
2023-06-29 00:00:00-04:00,15161.0,15202.75,15028.5,15100.25,594134,0.0,0.0,-0.00196629213483146,103737.23
2023-06-30 00:00:00-04:00,15106.0,15376.75,15099.0,15337.0,529455,0.0,0.0,0.015678548368404543,105363.68
2023-07-03 00:00:00-04:00,15331.0,15392.0,15308.0,15364.75,265064,0.0,0.0,0.0018093499380582578,105554.32
2023-07-05 00:00:00-04:00,15357.0,15432.0,15255.25,15360.75,519857,0.0,0.0,-0.00026033615906539964,105526.84
2023-07-06 00:00:00-04:00,15353.75,15366.0,15111.5,15238.0,574681,0.0,0.0,-0.007991146265644566,104683.56
2023-07-07 00:00:00-04:00,15211.75,15359.75,15172.25,15181.75,555119,0.0,0.0,-0.0036914293214332927,104297.12
2023-07-10 00:00:00-04:00,15198.5,15218.25,15063.25,15187.0,609953,0.0,0.0,0.0003458099362720901,104333.19
2023-07-11 00:00:00-04:00,15195.75,15278.75,15109.5,15260.0,552637,0.0,0.0,0.004806742608810088,104834.69
2023-07-12 00:00:00-04:00,15258.0,15507.75,15254.5,15444.75,649433,0.0,0.0,0.012106815203145382,106103.91
